466,81.3
467,81.3
468,81.3
469,81.3
470,81.3
471,81.1
472,81.3
473,81.4
474,81.3
475,81.1
476,81.3
477,81.3
478,81.3
479,81.3
480,81.3
481,81.6
482,81.6
483,81.4
484,81.5
485,81.7
486,81.6
487,81.6
488,81.6
489,81.7
490,81.7
491,81.7
492,81.8
493,82.1
494,82.1
495,82.3
496,82.4
497,82.4
498,82.6
499,82.4
500,82.7
501,82.6
502,82.6
503,82.6
504,82.6
505,82.6
506,82.6
507,82.6
508,82.6
509,82.9
510,82.9
511,82.9
512,82.9
513,83.0
514,83.2
515,83.3
516,83.3
517,83.3
518,83.3
519,83.4
520,83.5
521,83.6
522,83.7
523,83.6
524,83.6
525,83.6
526,83.6
527,83.5
528,83.7
529,83.4
530,83.3
531,83.3
532,83.3
533,83.2
534,83.2
535,83.1
536,83.2
537,83.2
538,83.2
539,83.4
540,83.2
541,83.2
542,83.4
543,83.4
544,83.5
545,83.5
546,83.8
547,83.8
548,83.8
549,83.8
550,83.8
551,83.8
552,83.8
553,83.8
554,83.8
555,83.8
556,83.8
557,83.8
558,83.9
559,83.9
560,83.9
561,83.9
562,84.0
563,84.0
564,84.1
565,84.1
566,84.1
567,84.1
568,84.1
569,84.0
570,84.0
571,83.9
572,83.9
573,83.9
574,83.9
575,83.8
576,83.9
577,83.8
578,83.8
579,84.0
580,83.9
581,84.0
582,84.1
583,83.8
584,83.8
585,83.8
586,83.8
587,83.8
588,83.8
589,83.6
590,83.8
591,83.6
592,83.6
593,83.5
594,83.5
595,83.5
596,83.5
597,83.5
598,83.4
599,83.4
600,83.4
601,83.4
602,83.3
603,83.4
604,83.4
605,83.3
606,83.3
607,83.3
608,83.3
609,83.3
610,83.3
611,83.3
612,83.3
613,83.3
614,83.7
615,83.7
616,84.0
617,84.0
618,84.1
619,84.1
620,84.2
621,84.3
622,84.5
623,84.5
624,84.5
625,84.6
626,84.5
627,84.5
628,84.8
629,84.8
630,85.1
631,85.1
632,85.1
633,84.5
634,84.8
635,84.4
636,84.7
637,84.6
638,84.6
639,84.6
640,84.6
641,84.6
642,84.6
643,84.6
644,84.6
645,84.5
646,84.5
647,84.6
648,84.6
649,84.6
650,84.6
651,84.6
652,84.6
653,84.6
654,84.6
655,84.5
656,84.5
657,84.5
658,84.5
659,84.6
660,84.6
661,84.6
662,84.6
663,84.5
664,84.6
665,84.6
666,84.6
667,84.6
668,84.8
669,84.9
670,84.9
671,85.0
672,85.2
673,85.2
674,85.3
675,85.3
676,85.3
677,85.2
678,85.5
679,85.5
680,85.5
681,85.5
682,85.5
683,85.5
684,85.4
685,85.4
686,85.5
687,85.5
688,85.5
689,85.5
690,85.5
691,85.6
692,85.6
693,85.7
694,85.7
695,85.7
696,85.6
697,85.7
698,85.7
699,85.7
700,85.7
701,85.6
702,85.6
703,85.3
704,85.0
705,84.7
706,84.7
707,84.7
708,84.6
709,84.6
710,84.7
711,84.7
712,84.7
713,84.7
714,84.7
715,84.9
716,84.9
717,84.9
718,84.9
719,85.1
720,84.9
721,85.1
722,85.1
723,85.1
724,85.1
725,85.2
726,85.2
727,85.3
728,85.6
729,85.6
730,85.6
731,85.6
732,85.5
733,85.6
734,85.6
735,85.7
736,85.7
737,85.7
738,85.8
739,86.1
740,86.0
741,86.1
742,85.7
743,86.0
744,86.0
745,85.7
746,85.7
747,85.7
748,85.7
749,85.7
750,86.0
751,86.0
752,85.7
753,85.9
754,85.6
755,85.6
756,85.6
757,85.6
758,85.8
759,85.8
760,85.6
761,85.7
762,85.7
763,86.1
764,86.1
765,86.1
766,86.0
767,86.2
768,86.3
769,86.3
770,86.3
771,86.4
772,86.5
773,86.5
774,86.4
775,86.5
776,86.5
777,86.7
778,86.5
779,86.7
780,86.5
781,86.6
782,86.6
783,86.6
784,86.6
785,86.6
786,86.6
787,86.6
788,86.6
789,86.6
790,86.6
791,86.8
792,86.6
793,86.6
794,86.6
795,86.8
796,86.8
797,86.8
798,86.8
799,86.8
800,86.8
801,86.7
802,86.7
803,86.7
804,86.6
805,86.8
806,86.6
807,86.5
808,86.5
809,86.5
810,86.6
811,86.8
812,86.8
813,86.8
814,86.6
815,86.8
816,86.6
817,86.6
818,86.8
819,86.6
820,86.8
821,86.7
822,86.7
823,86.7
824,86.7
825,86.6
826,86.6
827,86.6
828,86.6
829,86.6
830,86.7
831,87.0
832,87.0
833,87.2
834,87.1
835,87.3
836,87.3
837,87.3
838,87.3
839,87.3
840,87.4
841,87.4
842,87.4
843,87.4
844,87.5
845,87.4
846,87.3
847,87.3
848,87.3
849,87.3
850,87.3
851,87.3
852,87.3
853,87.3
854,87.3
855,87.3
856,87.3
